Province,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Türkiye-Türkiye,99663,114162,118568,120117,123325,125305,130913,131830,126164,128411,143573,156587,136570,175779,180954
Adana,3042,3546,3445,3841,3878,4057,4109,4329,3928,3803,4432,4951,4332,5555,5525
Adýyaman,417,504,435,422,467,576,489,587,484,480,542,623,551,798,835
Afyonkarahisar,932,961,1133,1010,927,907,967,981,978,951,1091,1211,979,1324,1297
Aðrý,114,116,114,151,160,191,212,200,189,172,252,258,252,357,360
Amasya,361,377,379,386,393,462,447,434,409,377,476,448,463,620,749
Ankara,8894,9998,10260,10491,11083,11221,11359,10950,10590,10748,11818,13399,11195,14818,15262
Antalya,3905,4870,5290,5621,5347,5712,6212,6210,5687,5899,6508,7167,6388,7849,7986
Artvin,126,148,155,157,131,172,171,140,149,130,201,216,158,225,227
Aydýn,1851,2087,2129,2104,2064,2128,2142,2488,2228,2468,2538,2789,2330,2929,3145
Balýkesir,1763,2042,2194,2259,2305,2274,2352,2421,2261,2309,2666,2986,2416,3064,3144
Bilecik,228,272,317,327,325,337,342,312,334,310,378,363,389,431,468
Bingöl,135,156,156,83,132,135,134,122,110,118,159,160,162,224,238
Bitlis,38,55,66,50,85,79,76,77,97,71,119,129,130,200,182
Bolu,297,347,371,365,435,450,400,366,372,382,508,530,510,645,582
Burdur,373,424,426,416,402,415,383,473,383,369,424,448,436,538,558
Bursa,3298,3679,4236,4660,4993,4835,5141,5216,5356,5242,5755,5977,5343,6813,7019
Çanakkale,664,745,802,882,814,727,877,966,999,947,940,1079,872,1312,1416
Çankýrý,166,191,207,209,205,204,182,212,197,230,297,257,218,303,308
Çorum,704,797,834,769,649,857,748,875,675,716,739,895,745,1109,1088
Denizli,1893,2155,2214,2101,2245,2250,2238,2311,2250,2193,2259,2615,2322,2809,3058
Diyarbakýr,538,632,679,637,774,773,798,764,719,838,1005,1248,1061,1592,1745
Edirne,579,702,674,669,562,603,722,735,645,649,761,846,734,918,921
Elazýð,578,681,608,532,664,670,682,600,511,539,636,771,733,976,1007
Erzincan,213,276,237,217,272,266,265,223,318,270,354,345,224,288,403
